class_id,class_name,class_category,class_thumbnail_path,class_header_path,class_video_src,class_description,class_benefits/0,class_benefits/1,class_benefits/2,class_duration/0,class_duration/1,class_duration/2,class_bring_items/0,class_bring_items/1,class_bring_items/2
111,Cardio Circuit,Cardio,../img/classes/thumbnails/cardio-circuit-thumbnail.jpg,../img/classes/headers/cardio-circuit-header.jpg,,"CARDIO CIRCUIT is a circuit training class that combines cardiovascular exercises with strength training stations. You'll move through various stations, challenging your heart and muscles in this high-intensity workout. It's a time-efficient way to burn calories and improve overall fitness.",Improved cardiovascular fitness,Full-body strength,Time-efficient workout,30mins,45mins,60mins,Water Bottle,Towel,Comfortable Clothing
112,Hi-Lo Fat Burner,Cardio,../img/classes/thumbnails/hi-lo-cardio-thumbnail.jpeg,../img/classes/headers/hi-lo-cardio-header.jpeg,,"HI-LO FAT BURNER is a classic aerobics class that combines high and low-impact movements to burn calories and boost metabolism. With energizing music and simple yet effective moves, it's suitable for all fitness levels. Join us for a fun and effective workout that will help you torch fat and improve cardiovascular health.",Calorie burn,Cardiovascular conditioning,Full-body workout,45mins,60mins,,Workout Shoes,Towel,Water Bottle
113,Sculpt Combo,Strength,../img/classes/thumbnails/sculpt-training-thumbnail.jpg,../img/classes/headers/sculpt-combo-header.jpeg,,"SCULPT COMBO is a strength training class that targets all major muscle groups using a variety of equipment such as dumbbells, resistance bands, and body weight exercises. It's designed to sculpt and tone your body while improving strength and endurance. Join us for a challenging and rewarding strength workout.",Full-body toning,Increased strength,Improved muscle definition,45mins,60mins,,Towel,Workout Gloves,Water Bottle
114,ABT,Strength,../img/classes/thumbnails/abt-thumbnail.jpeg,../img/classes/headers/abt-header.jpeg,https://www.youtube-nocookie.com/embed/3LlvMrjLar0?si=T0Om6OAnS3k6KS-M,"ABT (Abs, Butt, and Thighs) is a focused workout that targets the core, glutes, and thighs. Through a series of exercises and movements, you'll tone and strengthen these specific muscle groups. It's a great addition to your fitness routine for achieving a sculpted and defined midsection, buttocks, and thighs.",Core strengthening,Glute and thigh toning,Improved muscle endurance,30mins,45mins,,Yoga Mat,Towel,Water Bottle
115,BodyJam,Dance,../img/classes/thumbnails/bodyjam_600x600_thumbnail.jpg,../img/classes/headers/bodyjam_hero.jpg,https://www.youtube-nocookie.com/embed/eD88kFXMAzM?si=5cICb3hEqVr6bHu6,BODYJAM™ is the ultimate dance workout that combines the latest dance styles with the hottest music. You'll learn fun choreography and dance your way to fitness in this high-energy class. No dance experience required – just come ready to move and have a great time!,Cardiovascular conditioning,Improved coordination,Dance-inspired workout,45mins,60mins,,Dance Shoes,Towel,Water Bottle
116,Pilates,Flexibility,../img/classes/thumbnails/pilate-class-thumbnail.jpg,../img/classes/headers/pilates-header.jpeg,,"PILATES is a mind-body workout that focuses on core strength, flexibility, and overall body awareness. Through a series of controlled movements and breath work, Pilates helps improve posture, build long, lean muscles, and enhance overall well-being. Join us for a session that will leave you feeling strong, centered, and revitalized.",Core strength,Improved flexibility,Mind-body connection,45mins,,,Yoga Mat,Towel,Comfortable Clothing
117,Tai Chi,Flexibility,../img/classes/thumbnails/tai-chi-thumbnail.jpg,../img/classes/headers/tai-chi-header.jpeg,,"TAI CHI is an ancient Chinese martial art that emphasizes slow, flowing movements and deep breathing. It's a low-impact exercise that promotes relaxation, balance, and flexibility. Join us for a Tai Chi class to experience the meditative and rejuvenating benefits of this timeless practice.",Stress reduction,Improved balance,Enhanced flexibility,45mins,,,Comfortable Clothing,Water Bottle,
118,World Dance,Dance,../img/classes/thumbnails/world-dance-thumbnail.jpg,../img/classes/headers/world-dance-header.jpeg,,"WORLD DANCE is a vibrant and energetic dance class that explores various dance styles from around the world. From salsa to Bollywood, you'll move to the beats of different cultures and have a blast while getting a great workout. Join us for a global dance party that will leave you smiling and sweating!",Cardiovascular conditioning,Cultural exploration,Dance-inspired workout,45mins,,,Dance Shoes,Towel,Water Bottle
119,Yoga,Flexibility,../img/classes/thumbnails/yoga-class-thumbnail.jpg,../img/classes/headers/yoga-header.jpeg,,"YOGA is a holistic practice that combines physical postures, breath work, and meditation to promote overall well-being. Whether you're a beginner or an experienced yogi, our yoga class offers a space for relaxation, flexibility, and inner peace. Join us to stretch, strengthen, and connect mind and body.",Improved flexibility,Stress reduction,Mind-body connection,45mins,,,Yoga Mat,Comfortable Clothing,Water Bottle
120,Zumba,Dance,../img/classes/thumbnails/zumba-class-thumbnail.jpg,../img/classes/headers/zumba-header.jpeg,,ZUMBA is a high-energy dance workout that fuses Latin and international music with easy-to-follow dance moves. It's a dynamic and fun way to burn calories while enjoying the rhythms of different cultures. Join us for a Zumba class that will make you forget you're working out – it's a party for your body and soul!,Cardiovascular conditioning,Dance-inspired workout,Fun and energetic,45mins,,,Dance Shoes,Towel,Water Bottle
